rank,title,year,tomatometer
1,How to Train Your Dragon,2010,99%
2,Chicken Run,2000,97%
3,Wallace & Gromit: The Curse of the Were-Rabbit,2005,95%
4,Antz,1998,93%
5,How to Train Your Dragon: The Hidden World,2019,91%
6,How to Train Your Dragon 2,2014,92%
7,Shrek 2,2004,89%
8,Shrek,2001,88%
9,Kung Fu Panda,2008,87%
10,Captain Underpants: The First Epic Movie (Captain Underpants),2017,88%
11,Kung Fu Panda 3,2016,86%
12,Puss in Boots,2011,85%
13,Kung Fu Panda 2,2011,81%
14,Mr. Peabody & Sherman,2014,80%
15,The Prince of Egypt,1998,79%
16,Madagascar 3: Europe's Most Wanted,2012,79%
17,Trolls,2016,75%
18,Over the Hedge,2006,75%
19,Rise of the Guardians,2012,74%
20,Monsters vs. Aliens,2009,73%
21,Flushed Away,2006,73%
22,Penguins Of Madagascar,2014,73%
23,Megamind,2010,72%
24,The Croods,2013,71%
25,Spirit - Stallion of the Cimarron,2002,70%
26,Turbo,2013,67%
27,Madagascar: Escape 2 Africa,2008,63%
28,Shrek Forever After,2010,58%
29,Madagascar,2005,54%
30,The Boss Baby,2017,52%
31,Bee Movie,2007,50%
32,Home,2015,50%
33,The Road to El Dorado,2000,48%
34,Sinbad: Legend of the Seven Seas,2003,45%
35,Shrek the Third,2007,41%
